Year,Herring_Flemish,Herring_Dutch,Herring_English,Herring_Scottish,Herring_Irish,Herring_French,Herring_NorwegianBohuslen,Herring_NorwegianWestCoast,Cod_FrenchNFL,Cod_Icelandic,Cod_FrenchNEAtlantic,Cod_Scottish,Cod_Shetland,Cod_Dutch_NorthSea
1654,2480,54947,12167,6960,3246,7645,0,785,159144,23955,227,24338,7097,3882
1655,1587,34382,3305,7007,3225,7633,0,792,162727,24364,231,24733,7150,4000
1656,1148,24310,2478,7054,3203,7621,0,799,166281,24330,230,24631,7202,4039
1657,1301,26952,2779,7100,3181,7609,0,807,169806,24297,229,24529,7255,4078
1658,1447,29337,3079,7147,3159,7597,0,814,171734,24264,228,24426,7308,4116
1659,1491,29590,3380,7194,3138,7585,0,821,177621,24231,227,24324,7360,4155
1660,1587,30857,4148,7240,3544,7965,0,829,183276,24198,226,24222,7413,4193
1661,1848,35192,3189,7287,3949,7560,0,836,185940,24164,225,24120,7466,4232
1662,1781,33222,3376,7333,4355,7549,0,843,193445,24131,224,24018,7519,4270
1663,1897,34698,3563,7380,4761,7537,0,851,191011,24098,224,23916,7571,4308
1664,1746,31299,3019,7427,5167,7525,72,858,191933,24065,223,23814,7624,4346
1665,899,12205,2761,7473,5573,7513,72,865,214846,24032,222,23711,7677,4384
1666,639,8054,2526,7520,5418,7501,72,873,192617,23998,221,23609,7729,4422
1667,687,11619,3877,7567,5264,7489,72,880,186741,23965,220,23507,7782,4459
1668,1914,31789,4538,7613,5110,7477,72,868,175485,23932,219,23405,7835,4497
1669,1574,25657,5106,7660,4956,7465,72,855,170046,23899,218,23303,7887,4534
1670,1072,17156,4723,7706,5040,10646,72,843,164788,23866,217,23201,7940,4572
1671,1601,25165,5988,7753,5125,7542,72,830,160649,23832,216,23099,7993,4609
1672,777,12003,5847,7843,5209,7584,72,888,155766,23799,215,22996,8045,4646
1673,569,8637,5182,7933,5372,7625,72,947,145547,23766,214,22894,8098,4683
1674,1389,20703,6151,8023,5534,7667,72,1005,142242,23733,213,22792,8151,4720
1675,1666,24413,7662,8113,5696,7708,72,1063,137267,23700,212,22690,8204,4757
1676,1177,16958,7620,8203,5858,7750,72,1122,122508,23666,211,22588,8256,4793
1677,1628,23057,7801,8293,6021,7791,0,1180,124031,23633,210,22486,8309,4830
1678,1512,21054,7094,8383,6183,7832,0,1167,130683,23600,209,22384,8362,4866
1679,2105,28838,6395,8473,6345,7874,0,1153,141085,23567,208,22281,8414,4903
1680,2258,30433,6726,8563,6507,7915,0,1140,154225,23534,207,22179,8467,4939
1681,2415,32025,6400,8654,6669,7957,0,1110,158559,23323,206,22077,8520,4975
1682,1847,24106,6077,8744,6832,7998,0,1080,159372,23112,205,21975,8572,5011
1683,2161,27758,5830,8834,6994,8039,0,1050,164839,22902,204,21873,8625,5047
1684,2110,26671,4511,8924,7156,8081,0,1020,115800,22692,203,21771,8678,5082
1685,3170,39456,3135,9014,7318,8122,0,990,131837,22481,203,21669,8731,5118
1686,3324,40743,3473,9104,7481,8164,0,1013,158164,22270,202,21566,8783,5153
1687,1828,22060,3456,9194,7643,8205,0,1037,145491,22060,201,21464,8836,5188
1688,1796,21356,3228,9284,7789,8247,0,1060,143757,21849,200,21362,8889,5224
1689,1348,15781,3562,9374,7936,8288,0,1136,107257,21639,199,21260,8941,5259
1690,1863,21497,2850,9464,8082,9910,0,1212,105111,21429,198,21158,8994,5293
1691,1299,14769,1522,9554,8229,8368,0,1288,104130,21217,197,21056,9047,5328
1692,1688,18911,1033,9720,8376,8410,0,1364,108837,21007,196,20954,9099,5363
1693,1492,16469,1096,9886,8522,8451,0,1440,116931,20797,195,20851,9152,5397
1694,1889,20556,1296,10053,8669,8493,0,1456,120777,20586,194,20749,9205,5432
1695,1790,19199,1086,10219,8815,8534,0,1472,126186,20376,193,20647,9257,5466
1696,1517,16040,946,10385,8962,8576,0,1488,143582,20165,192,20545,9310,5500
1697,1448,15092,1210,10551,9108,8617,0,1504,133893,19955,172,20443,9363,5534
1698,3221,33112,1607,10717,8735,8658,0,1520,191833,19744,152,20341,9416,5567
1699,4044,41006,2133,10884,5314,8700,0,1535,186990,19534,132,20239,9468,5601
1700,4135,41348,663,11050,4049,10010,0,1550,176444,19324,112,20136,9521,5634
1701,1983,19827,1255,11216,4324,8599,0,1565,157868,19112,192,20034,9574,5668
1702,1274,12739,658,11687,4223,8549,0,1580,144826,18902,120,19932,9626,5701
1703,650,6496,589,12158,4240,8499,0,1584,95109,18692,48,19830,9679,5734
1704,720,7198,196,12629,4105,8449,0,1589,94217,17862,53,19728,9732,5766
1705,630,6296,454,13100,4942,8400,0,1593,87596,17087,59,19626,9784,5799
1706,767,7671,259,13571,4579,8350,0,1597,88643,16363,64,19524,9837,5831
1707,954,9536,579,14042,5307,8300,0,1601,97261,15687,69,19421,9890,5864
1708,1156,11555,577,14513,6665,8251,0,1606,111677,15651,75,19319,9942,5896
1709,1523,15230,830,14984,6195,8201,0,1610,92575,15616,80,19217,9995,5928
1710,1364,13635,826,15455,5446,11433,0,1614,103680,15580,85,19115,10048,6032
1711,1484,14835,1139,15926,5146,8099,0,1619,96863,15545,91,19013,10101,7716
1712,1300,12997,1072,15711,4701,8049,0,1623,104444,15511,96,18911,10153,7870
1713,2681,26809,1318,15497,5135,7999,0,1627,115653,15477,101,18809,10206,8024
1714,2291,22914,1376,15282,4702,7950,0,1631,134583,15443,107,18706,10259,7803
1715,2526,25260,1869,15067,4549,8039,0,1636,133835,15409,112,18604,10311,5756
1716,2193,21933,2357,14853,3916,8128,0,1640,121190,15376,112,18502,10364,5703
1717,2295,22950,2843,14638,127,8218,0,1644,138400,15343,112,18400,10417,5641
1718,2543,25434,3324,14423,2529,8307,0,1649,131804,15310,107,18298,10469,6265
1719,2177,21768,3802,14208,3647,8397,0,1653,146904,15278,102,18196,10522,6880
1720,1143,11425,4276,13994,3977,7279,0,1657,141767,15245,97,18093,10575,6399
1721,1621,16207,4746,13779,4636,8577,0,1661,125325,15214,92,17991,10627,5953
1722,1568,15683,5213,13412,3994,8666,0,1666,128082,15183,87,17889,10680,5954
1723,1769,17687,5677,13045,4034,8756,0,1670,131563,15152,82,17787,10733,5955
1724,1143,11427,6137,12677,4541,8845,0,2030,151118,15121,78,17685,10786,5956
1725,2118,21177,9870,12310,5034,8935,0,2363,153596,15090,73,17583,10838,5957
1726,2311,23109,6630,11943,4735,9024,0,2697,142259,15060,68,17481,10891,5996
1727,1701,17011,6665,11576,6241,9113,0,3030,143381,15031,63,17378,10944,6035
1728,1234,12336,6700,11209,7315,9203,0,3363,143283,15002,58,17276,10996,6660
1729,1237,12368,6735,10841,6732,9292,0,3697,137557,14973,53,17174,11049,7013
1730,1631,16314,6770,10474,8276,6813,0,4030,147652,14943,48,17072,11102,6688
1731,1254,12540,6805,10107,8082,9475,0,4363,145054,14915,112,16970,11154,6548
1732,1491,14912,6839,10056,9662,9564,0,4697,163047,14888,96,16868,11207,6409
1733,1693,16929,6873,10005,8591,9654,0,5030,149594,14860,96,16766,11260,6271
1734,1939,19385,6908,9954,6467,9743,0,5197,125769,16790,96,18701,11312,6885
1735,2316,23162,6942,9903,5441,9833,0,5364,137802,15274,80,17203,11365,6233
1736,2256,22564,6976,9852,5074,9922,0,5531,143039,15803,160,17743,11418,6394
1737,2593,25927,7009,9801,5519,10011,0,5698,145823,15048,240,17004,11471,7693
1738,2113,21129,7043,9750,5609,10101,0,5865,145070,16796,288,18758,11523,6386
1739,1590,15897,7076,9699,4787,10190,0,6032,151850,17574,336,19547,11576,6396
1740,1248,12481,7110,9648,4291,7917,0,6199,155837,16430,144,18420,11629,6783
1741,1488,14877,7143,9598,4027,10194,0,6366,150283,16086,128,18090,11681,6422
1742,1102,11017,7176,9547,3878,10194,0,6533,155734,16949,129,18963,11763,6453
1743,1039,10390,7209,9496,3744,10194,0,6700,158210,16434,120,18462,10063,6489
1744,1035,10351,7241,9445,4198,10194,0,8043,121319,16186,113,18170,13905,7130
1745,1624,16242,7274,9394,4393,10186,0,9386,102300,15937,106,17877,10649,6712
1746,2173,21731,7307,9343,4126,10178,0,10729,93822,15688,99,17584,11257,6597
1747,1167,11668,7339,9292,3335,10169,0,12071,91886,15441,92,17292,14129,7444
1748,821,8210,7371,9241,4008,10161,0,13414,92685,15193,85,17001,9897,14562
1749,968,9675,7403,9190,222,10153,0,14757,141441,14946,78,16710,21053,10988
1750,666,6655,2135,9139,293,11441,0,16100,168259,14700,71,16419,8666,13920
1751,1372,13718,7194,9088,4279,9120,0,16733,171661,14453,64,16129,11951,8745
1752,1191,11907,8222,8112,201,11629,0,17367,164246,13964,128,15835,9305,6906
1753,954,9535,4309,9194,3555,10304,2008,18000,164284,13477,224,15545,13349,7438
1754,1380,13800,7273,9197,365,13656,6469,20567,168891,13236,256,15319,15922,7337
1755,1305,13045,8617,12144,286,9533,9592,23133,158771,12999,176,15097,15351,7238
1756,1411,14109,10435,11132,1946,8440,10038,25700,136475,12765,32,14877,14781,7140
1757,1400,13997,10396,8984,2843,13052,18960,21367,105786,12534,32,14663,14210,11376
1758,610,6100,3241,11150,3616,8220,23645,17033,75333,12306,48,14452,13752,9376
1759,1026,10255,5376,8668,4922,9499,37028,12700,0,12330,62,14234,15481,8781
1760,774,7736,2214,7745,5206,12695,47066,12533,0,15670,95,17583,17210,10302
1761,780,7798,5139,9219,4329,8795,57104,12365,0,12753,93,14695,11315,8167
1762,1036,10359,6799,7579,3525,12849,66073,12198,95671,13280,110,15241,14654,8022
1763,740,7404,2490,9075,4672,8367,75988,12030,112970,15516,141,17478,16371,8735
1764,1019,10193,5297,7054,2994,14900,78728,11863,127589,16290,441,18258,15791,8495
1765,1218,12178,3478,9735,662,10354,58058,11696,149652,17773,877,19745,17296,8583
1766,640,6404,3992,9300,6312,9844,53325,11528,164639,20669,1131,22638,11949,10168
1767,886,8863,4862,8414,2377,12260,48070,11361,172038,18490,945,20477,12578,8762
1768,905,9049,5376,9446,3744,10585,44546,11193,168769,16111,1036,18116,15581,8073
1769,1184,11842,4229,9121,1934,14347,44763,11026,156283,18476,1166,20481,16049,8838
1770,953,9534,5890,11892,4232,9109,27883,10859,160224,18855,1248,19111,16517,8000
1771,1294,12940,2688,9815,2350,9723,57426,10691,141799,20216,1248,20532,16985,8350
1772,1138,11380,5929,8620,2489,14064,74804,10524,152629,21770,1728,22146,17453,7450
1773,1521,15209,11937,10918,953,11589,64056,10357,160762,22373,1329,22814,17921,8300
1774,1321,13208,9091,11363,4295,9897,53530,10189,155815,22003,1620,22512,18389,8550
1775,1125,11251,6720,10068,4343,13632,50538,10022,155520,19617,1579,20202,18857,9050
1776,1271,12713,4743,12238,3816,10215,53269,9854,174359,19471,1431,20125,19325,9850
1777,1296,12963,3123,11101,9644,10582,57778,9687,135944,19337,1660,20061,19793,10150
