"","Region","famine_id","start_year","duration","avg_PDSI","avg_PDSI_europe","avg_temp_summer","avg_temp_winter","avg_precip_summer","avg_precip_winter","avg_temp_summer_europe","avg_temp_winter_europe","avg_precip_summer_europe","avg_precip_winter_europe","avg_ongoing_wars","avg_Deaths","avg_Death_ratio","avg_JSL","avg_NAO_cal","n_first","max_nino_first_n","avg_nino_first_n","avg_nino34","avg_2y_nino","max_2y_nino"
"66","Italy",7,1558,3,-0.678837640995502,-0.0088563908882684,-0.124488343535389,-0.252556544792761,4.01167954953329,12.5287573900039,0.00345638563054032,-0.0979275597860761,2.49351648071857,5.51949222815106,9.66666666666667,13702.7513227513,1439.32613168724,-0.517187095666667,-0.447522333333333,1,-0.29175598,-0.29175598,-0.33585798,-0.31476698,-0.29175598
"67","Italy",8,1569,4,-0.321728770096143,-0.335818493577893,-0.02214979039139,-0.406006328122382,2.54315984690991,12.2021851648809,-0.0682291008062114,-0.296007866034938,2.33831853006651,6.88187624721072,14,19685.7954545455,1404.74256567296,-1.0909284265,-0.144304,2,0.39434602,0.13781202,-0.14822598,0.13781202,0.39434602
"68","Italy",9,1586,2,0.187293808684843,0.191009568585712,-0.626936004873933,-0.62370304895144,1.18950795300269,10.4836019399185,-0.411345916896908,-0.635663314795265,3.15836051809636,4.5066735118455,6.5,6571.9696969697,942.945075757576,-2.3098656345,-0.876147,1,0.63472602,0.63472602,0.20225102,0.20225102,0.63472602
"69","Italy",10,1590,4,0.564247977432945,0.048068029361812,-0.512389256917343,-0.00536928598074304,5.52789011654442,13.6860761606451,-0.228688477444169,-0.232369607949074,3.67645926001284,5.3511506975746,10.25,15682.840624288,1530.23001791094,-2.48968861275,-0.6627934,2,0.69814602,0.0518180200000002,0.0216440200000002,0.0518180200000002,0.69814602
"70","Italy",11,1600,2,1.17345220073882,0.220627359879175,-0.975504180610098,-0.708450080949643,6.45328725545337,15.4937353405166,-0.466873078149528,-0.711278227144401,2.70710374542167,6.14115099256734,10,22841.7691957166,2284.17691957166,-3.4676303325,-0.8519115,1,-1.20036598,-1.20036598,-0.61444898,-0.61444898,-0.0285319799999998
"71","Italy",12,1607,2,0.0602220302918244,0.0889030574596145,-0.340420763467995,-0.0627764718122062,8.43837874518907,14.8683473887835,-0.326760837555936,-0.245375155765889,3.87103707180905,6.11226372435256,10,14155.0837320574,1413.85747426417,-0.3088759995,-0.2515555,1,0.91490802,0.91490802,0.75474202,0.75474202,0.91490802
"72","Italy",13,1618,5,-0.100801195933971,-0.0521502602666253,-0.153790403599387,-0.283696876177309,2.02267095740515,10.922255856452,-0.269218502819131,-0.325414960150883,3.76158102782014,4.0309699320989,10.4,319137.690732207,32032.4800865204,-0.8338951324,0.02559782,2,0.30889402,0.16078302,0.46881962,0.16078302,0.30889402
"73","Italy",14,1628,2,1.19810648443255,-0.13122256138978,-0.866007100131701,0.230827141504379,8.00289351827951,8.87345612755262,-0.171876561699317,0.213877912088747,3.98809982887817,5.71514670391319,15,445287.373271889,29813.328567314,-1.103443681,0.223227835,1,-0.41346598,-0.41346598,0.0677500200000002,0.0677500200000002,0.54896602
"74","Italy",15,1648,2,-0.606957951799925,-0.199096968589113,-0.351769917385931,-0.147447803496973,5.67943145645523,16.515231400988,-0.120112505648631,-0.359234575331776,4.31063847993666,6.05349328023468,14,253406.662826421,16459.4442310975,0.624772777,0.12363205,1,-1.42844598,-1.42844598,-0.15733398,-0.15733398,1.11377802
"75","Italy",16,1659,4,-0.901656582989451,-0.399542739465988,0.112944200763979,-0.116034036498158,3.02554512350379,11.5847474775112,-0.0913475138879771,0.156228788472188,3.12224249034506,5.22526155036862,7.5,22481.5773809524,3167.79733560091,2.2117331095,0.11878225,2,0.0457660200000002,-0.0796129799999998,0.20839152,-0.0796129799999998,0.0457660200000002
"76","Italy",17,1678,2,-0.477071793060671,-0.175289218140258,-0.468286725685857,0.0478133755674057,5.31773563388767,11.8146144070259,-0.0662282680313642,-0.219252645717,1.92292205827975,3.69426366124221,7.5,26495.2380952381,3361.60714285714,-1.340555059,-0.0163715,1,-0.92052598,-0.92052598,-0.71123298,-0.71123298,-0.50193998
"77","Italy",18,1693,3,-0.128483332944749,-0.253196151188792,-0.288784642515182,-0.455455419907733,3.63486944214187,14.6465952251613,-0.302297315758705,-0.245649798065612,2.75614087077761,4.3817306076043,2.33333333333333,82254.9019607843,36372.5490196078,-1.09876272433333,0.362890666666667,1,0.78497002,0.78497002,0.872863353333334,0.37075602,0.78497002
"78","Italy",19,1708,2,-0.300472964090282,-0.0504596004311092,-0.0512893922342105,-0.471435166214363,2.11412184726714,20.4245911997201,-0.268115312706186,-0.563928253604127,4.64764735759197,5.29526472638368,6.5,134360.064935065,20878.6410018553,0.4925567355,-0.2874995,1,0.12325602,0.12325602,0.10991702,0.10991702,0.12325602
"79","Italy",20,1716,1,-0.87559920310923,-0.296017718477894,-0.665210085539767,-0.797074632216959,2.27944481747016,14.9067839629303,-0.210411914420991,-0.221221537675479,0.965839497636173,0.866920879929362,10,57696.9696969697,5769.69696969697,-3.149660084,-1.04314,1,-0.73381598,-0.73381598,-0.73381598,-0.73381598,-0.73381598
"80","Italy",21,1724,1,-0.260662734417486,0.352762253970348,-0.172007007941433,0.549969904552078,0.393108866696127,9.12456228875989,-0.288341988231284,0.340800828683876,0.46311148455222,7.94009176645588,1,0,0,1.71847572,0.0547503,1,0.11464202,0.11464202,0.11464202,0.11464202,0.11464202
"81","Italy",22,1743,3,0.044493717202808,-0.109910414629573,-0.382950626860883,-0.439155842364427,2.58919980969622,6.29985560778365,-0.268891873834863,-0.0398392740331504,2.93356875500019,2.46627590775147,3.33333333333333,47491.1111111111,14390.1851851852,-0.962975088666667,-0.237130666666667,1,-0.24990998,-0.24990998,0.173017353333334,-0.0442079799999997,0.16149402
"82","Italy",23,1764,4,0.206480854050162,-0.222512695762809,-0.391574953826327,-0.0904240762102458,4.91113768072138,10.1388604009485,-0.208188578082156,-0.019301973526854,2.21941122500585,2.10062105846293,2,0,0,-0.64030065225,0.091031275,2,0.41677402,0.41363302,0.40212752,0.41363302,0.41677402
