Year,Region,Famine,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio,temp_winter,temp_summer,temp_winter_europe,temp_summer_europe,precip_winter,precip_summer,precip_winter_europe,precip_summer_europe,PDSI_europe,PDSI,nino34,nino3,nino4,nino12,NAO_cal,NAO_model,JSL,Century,Famine_before,Famine_after,Famine_after2,Famine2Y,Famine3Y,Famine1Y,Famine_dur,Famine_dur2,Famine_start,Famine_end
1536,Ireland,0,40066.666666666664,9.0,2.0,4.0,4451.851851851851,-0.3293399135784133,0.20663699621984957,-0.6027876801123195,-0.30432298297801696,0.9067280165114577,7.814897067392769,2.1602562759380546,3.510383610532651,-0.04086947407343804,2.1576011791075973,-0.5106979799999998,-0.5004949333333332,-0.46241526666666666,-0.4346756122448966,0.750011,0.95194,0.435934728,16,0,0,0,0,0,0,0.0,0.0,0,0
1536,Italy,0,40066.666666666664,9.0,2.0,4.0,4451.851851851851,-0.7569254248904127,-0.47512354180020816,-0.6027876801123195,-0.30432298297801696,12.71681226749409,11.070494669068616,2.1602562759380546,3.510383610532651,-0.04086947407343804,-0.677024756324522,-0.5106979799999998,-0.5004949333333332,-0.46241526666666666,-0.4346756122448966,0.750011,0.95194,0.435934728,16,0,0,0,0,0,0,0.0,0.0,0,0
1536,Low Countries,0,40066.666666666664,9.0,2.0,4.0,4451.851851851851,-0.5385083235208308,0.7952641121095281,-0.6027876801123195,-0.30432298297801696,-4.436902611911583,-11.111092228479997,2.1602562759380546,3.510383610532651,-0.04086947407343804,-1.4465507581696626,-0.5106979799999998,-0.5004949333333332,-0.46241526666666666,-0.4346756122448966,0.750011,0.95194,0.435934728,16,0,0,0,0,0,0,0.0,0.0,0,0
1536,Nordic Countries,0,40066.666666666664,9.0,2.0,4.0,4451.851851851851,-0.6237569306503973,-0.36401783379864183,-0.6027876801123195,-0.30432298297801696,-0.5239158924520723,1.5004665778789783,2.1602562759380546,3.510383610532651,-0.04086947407343804,0.35662732957909116,-0.5106979799999998,-0.5004949333333332,-0.46241526666666666,-0.4346756122448966,0.750011,0.95194,0.435934728,16,0,0,0,0,0,0,0.0,0.0,0,0
1536,Russia/Ukraine,0,40066.666666666664,9.0,2.0,4.0,4451.851851851851,-1.2113490491295211,-1.032263448007543,-0.6027876801123195,-0.30432298297801696,2.4742899699646452,5.500062172685853,2.1602562759380546,3.510383610532651,-0.04086947407343804,-0.5138780623846504,-0.5106979799999998,-0.5004949333333332,-0.46241526666666666,-0.4346756122448966,0.750011,0.95194,0.435934728,16,0,0,0,0,0,0,0.0,0.0,0,0
1536,Spain,0,40066.666666666664,9.0,2.0,4.0,4451.851851851851,-0.5347433774614434,-0.4135768844746407,-0.6027876801123195,-0.30432298297801696,7.573410077073538,8.951238443337063,2.1602562759380546,3.510383610532651,-0.04086947407343804,0.8258958586802921,-0.5106979799999998,-0.5004949333333332,-0.46241526666666666,-0.4346756122448966,0.750011,0.95194,0.435934728,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,Central Europe,0,54900.0,6.0,2.0,5.0,9150.0,0.06396286203090829,-0.5291022160095817,0.2581229580931312,-0.18505397421880634,7.493149109395794,5.931026800702328,9.151731768660632,4.086188846520281,-0.07992109735506822,0.12030620207844402,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,Great Britain,0,54900.0,6.0,2.0,5.0,9150.0,0.13761770886388416,-0.3991935197445834,0.2581229580931312,-0.18505397421880634,11.924528863395558,6.20855562207149,9.151731768660632,4.086188846520281,-0.07992109735506822,1.3600238896597747,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,France,0,54900.0,6.0,2.0,5.0,9150.0,0.5082354849606189,-0.3037295837373597,0.2581229580931312,-0.18505397421880634,21.152088242694006,5.503515958955057,9.151731768660632,4.086188846520281,-0.07992109735506822,0.9435707623301912,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,Ireland,0,54900.0,6.0,2.0,5.0,9150.0,0.03204190993652081,-0.20140607649450304,0.2581229580931312,-0.18505397421880634,13.161698926778383,4.93944097333698,9.151731768660632,4.086188846520281,-0.07992109735506822,2.2752542305450736,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,Italy,0,54900.0,6.0,2.0,5.0,9150.0,-0.15721493925780608,-0.32284346297616284,0.2581229580931312,-0.18505397421880634,11.5038985834855,2.513007629974385,9.151731768660632,4.086188846520281,-0.07992109735506822,-0.6532727309634947,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,1,0,0,0,0.0,0.0,0,0
1537,Low Countries,0,54900.0,6.0,2.0,5.0,9150.0,0.3701462849514566,-0.3926963009972695,0.2581229580931312,-0.18505397421880634,12.292435623434724,7.5941069918796975,9.151731768660632,4.086188846520281,-0.07992109735506822,0.7989004172237142,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,Nordic Countries,0,54900.0,6.0,2.0,5.0,9150.0,-0.03813619029672138,-0.07923355550332833,0.2581229580931312,-0.18505397421880634,2.812368669654817,3.7254050169530326,9.151731768660632,4.086188846520281,-0.07992109735506822,-0.23991468881598008,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
