Year,TypeLocation,Catch,type,location,logcatch,nino3,nino34,nino4,nino12,JSL,NAO_cal,NAO_model,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio
1530,Herring_Flemish,23688.0,Herring,Flemish,10.072766084358127,0.5065234000000002,0.5253320200000001,0.4783080666666667,0.41500806122449135,2.337307871,-0.471792,-0.991856,13230.0,6.0,1.0,2.0,2205.0
1531,Herring_Flemish,20810.0,Herring,Flemish,9.94323697205341,0.09781840000000011,0.07342802000000022,0.07391140000000003,0.14521214285714434,-0.662463483,-0.158193,-0.0933321,10680.0,8.0,4.0,11.0,1335.0
1532,Herring_Flemish,21378.0,Herring,Flemish,9.970164410800407,-0.5450465999999998,-0.5564499799999998,-0.48520526666666663,-0.4510633673469372,-2.958004838,-1.1764,-0.518038,10100.0,9.0,4.0,8.0,1122.2222222222222
1533,Herring_Flemish,17217.0,Herring,Flemish,9.7537106272179,-0.4486832666666665,-0.4354439799999999,-0.40739860000000006,-0.45912459183673326,-0.18004547,-0.108316,-0.393698,10100.0,8.0,2.0,5.0,1262.5
1534,Herring_Flemish,19173.0,Herring,Flemish,9.861310473636943,0.1981167333333335,0.20696202000000027,0.1544647333333334,0.11148765306122597,0.277854428,-0.560081,-0.0299837,5166.666666666667,10.0,6.0,14.0,516.6666666666667
1535,Herring_Flemish,26058.0,Herring,Flemish,10.168118476957156,-0.1289015999999998,-0.16037197999999978,-0.1666252666666667,-0.08234908163265149,1.443935708,0.046025,0.702188,3066.6666666666665,10.0,3.0,4.0,306.66666666666663
1536,Herring_Flemish,16037.0,Herring,Flemish,9.682716185366974,-0.5004949333333332,-0.5106979799999998,-0.46241526666666666,-0.4346756122448966,0.435934728,0.750011,0.95194,40066.666666666664,9.0,2.0,4.0,4451.851851851851
1537,Herring_Flemish,13135.0,Herring,Flemish,9.48311183169221,0.4428267333333336,0.4804360200000003,0.4272047333333334,0.3227427551020422,-1.518119819,0.0300539,-0.110392,54900.0,6.0,2.0,5.0,9150.0
1538,Herring_Flemish,14335.0,Herring,Flemish,9.570529135214711,-0.7880615999999999,-0.8487679799999999,-0.8020019333333335,-0.64107357142857,-3.601601883,-0.522021,-0.0927806,23000.0,4.0,1.0,1.0,5750.0
1539,Herring_Flemish,13430.0,Herring,Flemish,9.505320746909074,0.6957150666666668,0.7567520200000002,0.7084680666666666,0.5330794897959198,-4.449375523,-0.30747,0.228095,1500.0,2.0,1.0,2.0,750.0
1540,Herring_Flemish,14168.0,Herring,Flemish,9.558811758564227,0.3823684000000001,0.3564360200000002,0.2997313999999999,0.3934366326530627,-4.112306683,0.49769,0.889875,1500.0,5.0,4.0,42.0,300.0
1541,Herring_Flemish,8004.0,Herring,Flemish,8.987821625430815,0.002093400000000152,-0.0028119799999997996,0.03985139999999997,0.06407948979591983,-1.954337861,-0.0173278,0.367143,5000.0,4.0,1.0,4.0,1250.0
1542,Herring_Flemish,7725.0,Herring,Flemish,8.952346543226227,-0.7084649333333332,-0.7167119799999998,-0.6421286000000002,-0.6196449999999986,-4.607169341,-0.792067,0.588939,31966.666666666668,7.0,4.0,7.0,4566.666666666667
1543,Herring_Flemish,9157.0,Herring,Flemish,9.12238309321704,1.1748717333333336,1.2474280200000003,1.1373847333333333,0.9294774489795936,-1.259613945,-0.107773,0.0106835,30666.666666666668,5.0,0.0,0.0,6133.333333333334
1544,Herring_Flemish,15209.0,Herring,Flemish,9.62970838525334,-0.009103266666666485,-0.07641997999999976,-0.08675526666666662,0.1149978571428587,0.866658107,-0.585677,0.111008,34791.66666666667,6.0,2.0,7.0,5798.611111111112
1545,Herring_Flemish,17144.0,Herring,Flemish,9.74946186489702,0.6384850666666669,0.6848040200000002,0.6935147333333332,0.5835590816326546,-1.031382445,0.244261,2.15176,4125.0,5.0,1.0,1.0,825.0
1546,Herring_Flemish,14146.0,Herring,Flemish,9.557257866458935,-0.7422682666666666,-0.7790639799999997,-0.7101052666666666,-0.5939103061224477,-1.808056936,0.153583,1.02079,8125.0,4.0,1.0,2.0,2031.25
